store_page_domain,bounce_rate,total_single_page_viewers,total_visits
pioneerelectronics.com,1.0,1,1
navigation.com,1.0,1,1
amcentertainment.com,1.0,19,19
blogs.http://monik.su/,1.0,1,1
syms.com,1.0,1,1
essentialapparel.com,1.0,4,4
trendmicro.com?utm_source=rss&utm_medium=merchant,1.0,1,1
paragonsports.com,1.0,2,2
silkscreeningsupplies.com?utm_source=rss&utm_medium=tag,1.0,1,1
tayloredexpressions.com,1.0,1,1
windandweather.com,1.0,2,2
new.speedysigns.com,1.0,1,1
warhawk.com,1.0,2,2
iresq.com,1.0,2,2
10.216.16.155,1.0,1,1
merrillshop.com,1.0,2,2
redlobster.com,0.8787878787878788,29,33
etacuisenaire.com,1.0,2,2
pictopia.com,1.0,1,1
homesecuritystore.com,1.0,1,1
modachique.com,1.0,1,1
kandicota.com,1.0,1,1
sureglow.com,1.0,1,1
pendleton-usa.com,1.0,2,2
pictureme.com,1.0,1,1
hertz.co.uk?utm_source=rss&utm_medium=merchant,1.0,1,1
lingeriediva.com,1.0,5,5
wildyx.com?utm_source=rss&utm_medium=tag,1.0,2,2
shop.shawnimals.com,1.0,2,2
ergogeek.com,1.0,2,2
budgetgolf.net,1.0,4,4
serverweb.net,1.0,1,1
winderfarms.com,1.0,1,1
tiilys.com,1.0,2,2
mybooksandmusic.com,1.0,1,1
sdtech.com?utm_source=rss&utm_medium=tag,1.0,1,1
archiversonline.com,1.0,2,2
bestbuy.com?utm_source=google&utm_medium=cpc&kw=promotional%20code%20for%20cordless%20phones&campaign=s_electronics&adgroup=Phones&creativeid=3942877133&site=&type=Search,1.0,1,1
neato.com?utm_source=rss&utm_medium=merchant,1.0,1,1
coxtix.com,1.0,1,1
jambajuice.com,1.0,18,18
whiteflowerfarm.com,1.0,1,1
peachcouture.com,1.0,2,2
avon.com,1.0,16,16
sickforcute.com,1.0,1,1
800petmeds.com,1.0,18,18
jacob843.webs.com,1.0,1,1
allegra.com,1.0,1,1
martjobs.com,1.0,1,1
clearlycontacts.com.au,1.0,2,2
thehorrordome.com,1.0,1,1
flip4mac.com,1.0,1,1
thenewenglandtradingcompany.com,1.0,1,1
littleflowerdesigns.com,1.0,1,1
i4vegas.com,1.0,1,1
sharbor.com,1.0,1,1
waldenfarms.com,1.0,2,2
half.ebay.com,1.0,27,27
blacklabelboutique.com,1.0,2,2
hermitagelighting.com,1.0,1,1
marketcircle.com,1.0,2,2
baileysonline.com?utm_source=rss&utm_medium=tag,1.0,1,1
streamline-systems.net,1.0,1,1
mynamenecklace.com,1.0,2,2
abrockettwister.com,1.0,2,2
ciao.co.uk,1.0,1,1
urbanoutfitters.com,0.9826086956521739,113,115
uniblue.com,1.0,1,1
myschoolmemories.com.au,1.0,1,1
rdln.com,1.0,1,1
hrmusainc.com,1.0,2,2
modelexpo-online.com,1.0,1,1
notgonnawork.com,1.0,1,1
disneyworld.disney.xnxxcelb.blogspot.com,1.0,1,1
kalonaspa.com,1.0,1,1
teamcovers.com,1.0,2,2
catalinaexpress.com,1.0,1,1
willowst.com,1.0,1,1
smbmsp.ning.com,1.0,1,1
gyration.com,1.0,1,1
homegardenheaven.com,1.0,1,1
usautoparts.com?utm_source=rss&utm_medium=merchant,1.0,1,1
taigaofficial.com,1.0,1,1
greatbeginningsonline.com,1.0,1,1
azbroadwaytheatre.com,1.0,1,1
sansa.com?utm_source=rss&utm_medium=tag,1.0,1,1
philips.com?utm_source=rss&utm_medium=tag,1.0,1,1
connectingthreads.com,1.0,6,6
nukoo.net,1.0,1,1
glutensmart.com,1.0,1,1
fabuloushomedecor.biz,1.0,1,1
illuminartecollection.com,1.0,1,1
newyorker.com?utm_source=extension&utm_medium=firefox,1.0,1,1
hustlerlingerie.com,1.0,1,1
maxtoolsales.com?utm_source=rss&utm_medium=merchant,1.0,1,1
myphotofun.nl,1.0,1,1
metrostyle.cm?utm_source=rss&utm_medium=merchant,1.0,1,1
weightwatchers.com.au,1.0,2,2
fantasicworldfoods.com,1.0,1,1
loveitnotepads.com,1.0,1,1
gumps.com?utm_source=rss&utm_medium=tag,1.0,1,1
endangerwear.com,1.0,1,1
enviousboutique.com,1.0,1,1
ucorder.com,1.0,1,1
kathyirelandskincare.com,1.0,1,1
montred.com,1.0,2,2
24moviez.ru/user/SleeraBerce/,1.0,1,1
mgmstore.com,1.0,1,1
charliebrowns.com,1.0,2,2
melamedeyecare.com,1.0,1,1
kitchengoddess.co.uk,1.0,1,1
gravitydefyer.com,1.0,1,1
londonpass.com,1.0,2,2
sensible-car-rental.com,1.0,1,1
namo.com,1.0,1,1
cbs.seenon.com?utm_source=rss&utm_medium=merchant,1.0,1,1
kingsdomion.com,1.0,1,1
save-on-crafts.com,1.0,8,8
laptopsdirect.co.uk,1.0,1,1
blogs.serwis-motoryzacyjny.eu,1.0,1,1
pinmart.com,1.0,2,2
kewlcakes.com,1.0,1,1
mmapitear.com,1.0,1,1
lighthousedepot.com,1.0,1,1
tiresplus.com,1.0,4,4
birdseyefoods.com,1.0,3,3
mrchewy.com,1.0,2,2
eastsidehosting.com,1.0,1,1
crateandbarrel.ca,1.0,1,1
bowlingballsales.com,1.0,2,2
thompsonhotels.com,1.0,2,2
shopruche.com?utm_source=rss&utm_medium=merchant,1.0,1,1
mollywear.com,1.0,1,1
janine.decresenzo.com,1.0,1,1
hostgator.com?utm_source=rss&utm_medium=tag,1.0,1,1
losaltosresidenceinn.com,1.0,1,1
erosetcompagnie.com,1.0,1,1
csnsupply.com,1.0,1,1
peapod.com?utm_source=ask&utm_medium=cpc&utm_campaign=ask%2Bdeals%2Baff,1.0,1,1
cribs.com?utm_source=rss&utm_medium=merchant,1.0,1,1
waterpik-store.com,1.0,1,1
craniumfitteds.com?utm_source=rss&utm_medium=merchant,1.0,1,1
xilogic.com,1.0,1,1
momglam.com,1.0,1,1
humidorvault.com,1.0,3,3
fommy.com,1.0,1,1
kingsdoinion.com,1.0,1,1
chemistry.com,1.0,2,2
jlifehaircare.com,1.0,1,1
fanniemae.com?utm_source=rss&utm_medium=merchant,1.0,1,1
joespetmeds.com,1.0,2,2
lifeuniform.com,1.0,3,3
burton.com,1.0,6,6
philadelphia.phillies.mlb.com,1.0,2,2
waterpik.com,1.0,2,2
mrjims.com?utm_source=rss&utm_medium=tag,1.0,1,1
shoptwine.com,1.0,1,1
8minutedating.com,1.0,2,2
mgmmiragevacations.com,1.0,2,2
agilewebsolutions.com,1.0,1,1
proaudiostar.com,1.0,1,1
squirt.org,1.0,5,5
usatoday.com,1.0,5,5
shopnastygal.com,1.0,7,7
babyuniverse.com,1.0,1,1
vodotehnik.com,1.0,1,1
b-p-p.com,1.0,1,1
j.lynne,1.0,1,1
silviasshop.net,1.0,1,1
loanio.com,1.0,1,1
disneydigitalbooks.com,1.0,1,1
metropcs.com,1.0,8,8
interviewangel.com,1.0,1,1
shop.steelers.com,1.0,3,3
stevemadden.com?fb_xd_fragment#?=&cb=f35b07d57489b72&relation=parent&transport=fragment&frame=f29b6e2e10d15ae,1.0,1,1
downtownhost.shmyl.com,1.0,1,1
gbhost.biz,1.0,1,1
ticketmaster.co.uk,1.0,2,2
cookinglight.com,1.0,1,1
thepill.com,1.0,1,1
nurserydepot.com,1.0,1,1
accorhotels.com.au?utm_source=rss&utm_medium=tag,1.0,1,1
ghhobby.com,1.0,1,1
ifemina.cz,1.0,1,1
mydeals.ch,1.0,1,1
randallburkey.com,1.0,3,3
gunz.jp,1.0,2,2
vampfangs.com,1.0,2,2
lowes.levolor.com,1.0,7,7
hollisterco.com,0.8923076923076924,116,130
auth.www.pintwire.co.in,1.0,1,1
logodesignguru.com,1.0,2,2
superjeweler.com,1.0,3,3
sherpani.us,1.0,3,3
ssense.com,1.0,2,2
lockoutforums.com,1.0,2,2
babyphat.com,0.1111111111111111,1,9
captainzoom.com,1.0,1,1
jessicurl.com,1.0,2,2
costumeuniverse.com,1.0,1,1
hollisterco.com?utm_source=email&utm_medium=alert,1.0,3,3
juniorscheesecake.com?utm_source=rss&utm_medium=tag,1.0,1,1
financetrain.com,1.0,2,2
akirachicago.com?utm_source=ask&utm_medium=cpc&utm_campaign=ask%2Bdeals%2Bnaff,1.0,1,1
talbots.com,0.8484848484848485,28,33
kodakgallery.com,0.9047619047619048,19,21
zenfolio.com?utm_source=rss&utm_medium=merchant,1.0,1,1
aramamotoruoptimizasyonu.gen.tr,1.0,1,1
scrubins.com,1.0,1,1
carnival.com,1.0,16,16
mediavideoconverter.com,1.0,1,1
kiwishoeshine.com,1.0,1,1
getartposters.com,1.0,1,1
outlet.http://sieuthibanhangtructuyen.com,1.0,1,1
elegantlyhandled.com,1.0,1,1
basicsn12stainless.spcdartboards.com,1.0,2,2
rosietrue.com,1.0,1,1
justdoitguides.co.uk,1.0,1,1
flash-memory-store.com,1.0,1,1
secure.jamesavery.com,1.0,1,1
promgirl.com?rkg_id=c-265663967_h-faa7957e6182e124cf3b914abddfd92d_t-1301764166,1.0,1,1
kickboardusa.com?utm_source=rss&utm_medium=merchant,1.0,1,1
atgstores.com?utm_source=rss&utm_medium=merchant,1.0,1,1
snapfish.com,0.9565217391304348,66,69
knihy.cpress.cz,1.0,1,1
amerimark.com?utm_source=rss&utm_medium=tag,1.0,1,1
creativethoughts.net?utm_source=rss&utm_medium=tag,1.0,1,1
echostore.net,1.0,1,1
parentscanada.com,1.0,1,1
yblighting.com,1.0,1,1
totallywicked-eliquid.co.uk,1.0,1,1
slappa.com,0.0,0,2
searsoutlet.com,0.7142857142857143,5,7
mcleodnetonline.com,1.0,1,1
tenayalodge.com,1.0,2,2
probikekit.com,1.0,1,1
fasttrack.com,1.0,1,1
socialengine.net,1.0,2,2
puritan.com,1.0,33,33
purenetworks.com,1.0,1,1
elighters.com,1.0,2,2
jobsbyfax.com,1.0,1,1
catalyztshopping.com,1.0,1,1
intelligenthomes.com,1.0,1,1
vistaprint.com.au,1.0,2,2
cockytalk.com,1.0,1,1
shop.rochebros.com,1.0,1,1
miamilxlimo.com,1.0,1,1
all3sports.com,1.0,2,2
coolknobsandpulls.com,1.0,1,1
risqueattitude.com,1.0,2,2
atlanta.braves.mlb.com,1.0,1,1
tommy.com,1.0,10,10
yourhcg.com,1.0,1,1
bagthehabit.com,1.0,1,1
linensource.com?utm_source=rss&utm_medium=merchant,1.0,1,1
artfire.com?utm_source=rss&utm_medium=tag,1.0,1,1
mophie.com?utm_source=rss&utm_medium=merchant,1.0,1,1
palmercash.com,1.0,1,1
aw-bc.com?utm_source=rss&utm_medium=tag,1.0,1,1
greenbushherbs.com,1.0,1,1
members.cdbaby.com,1.0,1,1
timetospa.com,1.0,1,1
stylefactory.com,1.0,2,2
costcochecks.com,1.0,2,2
target.com,0.9502923976608187,325,342
oneida.com,0.5,2,4
fragrantsoul.com,1.0,2,2
georgakopoulos.org,1.0,1,1
sundancesolar.com,1.0,1,1
perkinsrestaurantandbakery.com,1.0,1,1
dionissoap.com,1.0,1,1
hfalls.com?utm_source=rss&utm_medium=merchant,1.0,1,1
demco.com?utm_source=rss&utm_medium=merchant,1.0,1,1
shopecko.com,1.0,3,3
happymeal3.0.com,1.0,1,1
favorcollection.com,1.0,1,1
mywebcashstore.com,1.0,1,1
orhp.com,1.0,1,1
lofia.com,1.0,1,1
sx.http://justreadthisarticle.blogspot.com/,1.0,1,1
shopwss.com,1.0,2,2
heartlandamerica.com,1.0,4,4
orsracksdirect.com?utm_source=rss&utm_medium=tag,1.0,1,1
africansafariwildlifepark.com,1.0,1,1
beadinpath.com,1.0,1,1
pens.com?utm_source=rss&utm_medium=tag,1.0,1,1
skateboardwarehouse.com,1.0,2,2
fao.com?utm_source=ask&utm_medium=cpc&utm_campaign=ask%2Bdeals%2Baff,1.0,1,1
planetadventurerace.com,1.0,1,1
youbars.com?utm_source=rss&utm_medium=merchant,1.0,1,1
coldwatercreek.com?utm_source=rss&utm_medium=homepage,1.0,1,1
japanespod101.com,1.0,1,1
partyamerica.com?utm_source=rss&utm_medium=merchant,1.0,1,1
playersbench.com,1.0,1,1
trophydepot.com,1.0,1,1
importfood.com,1.0,1,1
janeiredaledirect.com,1.0,2,2
coldwatercreek.com,0.9761904761904762,82,84
superstock.com,1.0,1,1
yankeecandle.com,1.0,36,36
surfstitch.com,1.0,1,1
cbomc.com,0.0,0,2
icewarehouse.com?utm_source=rss&utm_medium=merchant,1.0,1,1
motelrocks.com,1.0,1,1
chanellospizza.com,1.0,1,1
penn-station.com,1.0,1,1
lucy.com,1.0,5,5
everdayminerals.com,1.0,1,1
db.tt,1.0,1,1
menswearhouse.com,0.6666666666666666,8,12
mltailor.com,1.0,1,1
nowdiscountshoes.com,1.0,3,3
airnewzealand.ca,1.0,1,1
dogwise.com,1.0,2,2
luxurylaces.com,1.0,1,1
greatbigcanvas.com,1.0,1,1
princessbowtique.net,1.0,1,1
worldofbears.com,1.0,1,1
safeeyes.com?utm_source=rss&utm_medium=merchant,1.0,1,1
techrestore.com,1.0,1,1
stussy.com,1.0,1,1
cheryls.com,1.0,2,2
moo.com,1.0,9,9
hyperwear.com,1.0,1,1
task.fm,1.0,2,2
alice-dsl.de,1.0,1,1
abercrombiekids.com,1.0,21,21
imitation.com,1.0,1,1
cashle.dealtap.com,1.0,2,2
bernardiparts.com?utm_source=rss&utm_medium=tag,1.0,1,1
eden-organics.net,1.0,1,1
carithers.com,1.0,2,2
snacktaxi.com,1.0,1,1
holdnstorage.com,1.0,2,2
cxracing.com,1.0,1,1
trinitycandlefactory.com,1.0,1,1
coldwatercreek.com?utm_source=email&utm_medium=alert,1.0,9,9
sfballet.org,1.0,4,4
merrimade.com,1.0,2,2
prodirectsoccer.com,1.0,6,6
micklitesports.com,1.0,3,3
wallstreetcreations.com,1.0,1,1
orsracksdirect.com?utm_source=rss&utm_medium=merchant,1.0,1,1
doodlebugandpeanut.com,1.0,1,1
partselect.com,1.0,2,2
driversed.com,1.0,2,2
mercedesmanuals.com,1.0,2,2
miamiwinefair.com,1.0,3,3
boudinbakery.com,1.0,1,1
legalseafoods.com,1.0,1,1
healthwarehouse.com?pagewanted=all,1.0,1,1
mapmyrun.com,1.0,1,1
ejunkie.com?utm_source=rss&utm_medium=tag,1.0,1,1
fedex.com,1.0,13,13
handynow.de,1.0,1,1
halloweentownboston.com,1.0,1,1
shockdoctor.com,1.0,2,2
funnyforlessmoney.com,1.0,1,1
cantonlions.com,1.0,1,1
nbc.com,1.0,1,1
geekware.ca,1.0,1,1
thebutterflygrove.com,1.0,1,1
lacouronneducomte.nl,1.0,1,1
mercantila.com,1.0,1,1
myidbox.com,1.0,1,1
iboats.com,1.0,5,5
kcticketcompany.com,1.0,1,1
mexyshop.myshopify.com,1.0,2,2
boyscoutstore.com,0.3333333333333333,1,3
printablecouponsforu.com,1.0,1,1
triumphunited.com,1.0,1,1
newmodeus.com,1.0,1,1
awdirect.com,1.0,1,1
idearibbon.com,1.0,2,2
tmlewin.co.uk?pagewanted=all,1.0,1,1
copperlabel.com,1.0,1,1
moultriefeeders.com,1.0,2,2
converse.com,0.84,21,25
trillora.com,1.0,1,1
empirediamonds.net,1.0,1,1
fila.com,1.0,1,1
moxiekidsonline.com,1.0,1,1
itunes.southfloridabusinessnews.com,1.0,1,1
feclothing.com,1.0,1,1
filmon.com,1.0,2,2
itunes.http://insidecheater.com/demi-lovato-unbroken-deluxe-edition,1.0,1,1
sandiego.padres.mlb.com?utm_source=rss&utm_medium=tag,1.0,1,1
towerhobbies.com,1.0,7,7
gamehqonline.com,1.0,1,1
armstrongmywire.com,1.0,1,1
drpepper.com,1.0,5,5
embroitique.com,1.0,3,3
shopkomen.com,1.0,1,1
carlsjr.com,1.0,6,6
chicago.poggled.com,1.0,1,1
computermemoryoutlet.com,1.0,1,1
sportchalet.com,0.6,3,5
bahamabreeze.com,1.0,1,1
canadadrugs.com,1.0,4,4
bestfilters.com,1.0,4,4
dollardays.com,1.0,1,1
ine.com,1.0,1,1
uslenscenter.com,1.0,1,1
advantagebridal.com?utm_source=rss&utm_medium=tag,1.0,1,1
bluestoneperennials.com,1.0,2,2
sundaraextensions.com,1.0,1,1
konfidence.com,1.0,1,1
theycatalog.com,1.0,1,1
san-diego.competitor.com,1.0,5,5
1800flowers.ca,0.0,0,2
lonelycatgames.com,1.0,1,1
homeplans.com,1.0,2,2
buyolympia.com,1.0,1,1
notjcrew.com,1.0,1,1
rhapsody.com,1.0,5,5
garrettcustomtrailers.com,1.0,1,1
fullspectrumsolutions.com,1.0,1,1
jpcycles.com?utm_source=rss&utm_medium=tag,1.0,1,1
ea.com,1.0,12,12
gobananascomedy.com,1.0,1,1
rockwellnutrition.com,1.0,3,3
modes4u.com,1.0,1,1
oscarblandi.com,1.0,1,1
italiabuona.com,1.0,1,1
digitalriver.com,1.0,1,1
herringtoncatalog.com,1.0,2,2
loveoffashion.com,1.0,1,1
fisher-price.com,1.0,13,13
undercovertourist.com,1.0,1,1
siliconbeats.com,1.0,1,1
softballjunk.com,1.0,2,2
amway.com?utm_source=rss&utm_medium=tag,1.0,1,1
omegajuicers.com,1.0,2,2
foxyoriginals.com,1.0,1,1
monpetitenfant.com,1.0,1,1
glockparts.com,1.0,2,2
i-bargainshop.com,1.0,1,1
joyofsake.com,1.0,1,1
argos.co.uk,1.0,1,1
pricepoint.com,1.0,1,1
brcohn.com,1.0,2,2
mydreamweddingdresses.com,1.0,1,1
jurassicclothing.com,1.0,1,1
inktechnologies.com,1.0,1,1
h20plus.com,1.0,2,2
behandpicked.com,1.0,1,1
teacollection.com?utm_source=ask&utm_medium=cpc&utm_campaign=ask%2Bdeals%2Baff,1.0,1,1
txi.com,1.0,1,1
miserylovesco.ca,1.0,1,1
ilovezinnia.com,1.0,1,1
jucy.co.nz,1.0,1,1
merriartist.com,1.0,1,1
modcloth.com,1.0,23,23
claudiaaccessories.com,1.0,1,1
nylabone.com,1.0,1,1
flyertalk.com,1.0,1,1
artisanalcheese.com,1.0,1,1
lindsay-phillips.com,1.0,1,1
muthco.com,1.0,1,1
designbands.com,1.0,1,1
blindstogo.com,1.0,1,1
organicindiausa.com,1.0,2,2
bestbuycandy.com,1.0,1,1
thesunglassmanonline.com,1.0,2,2
modemerr.com,1.0,1,1
caswellmassey.com,1.0,2,2
johnthelegend.tamilrockers.com,1.0,1,1
game-stop.com,1.0,1,1
beardhead.com,1.0,1,1
carepackages.com,1.0,1,1
simplefloors.com,1.0,1,1
aaa.com,0.9259259259259259,25,27
shamrockz.com,1.0,1,1
k1speed.com,1.0,2,2
kohls.com?utm_source=twitterfeed&utm_medium=twitter,0.0,0,2
trundlebedsdirect.com,1.0,1,1
twog.com,1.0,2,2
medievaltimes.com,1.0,14,14
shoe-store.net?utm_source=rss&utm_medium=merchant,1.0,1,1
avon.avon.ca,1.0,1,1
mypajamaboutique.com,1.0,1,1
kidzkupboard.com,1.0,1,1
sweetlibertine.com,1.0,1,1
store.uniquephoto.com,1.0,1,1
usedgolfballs.com,1.0,1,1
ultimatewineshop.com,1.0,1,1
gumps.com?utm_source=rss&utm_medium=merchant,1.0,1,1
kiddoartworks.com,1.0,1,1
lojackforlaptops.com,1.0,1,1
jdmercantile.com,1.0,1,1
canada-battery.ca,1.0,1,1
aliceechonews.com,1.0,1,1
veritasprep.com,1.0,1,1
hellpizza.co.nz,1.0,4,4
greaturbanrace.com,1.0,1,1
motopartsmax.com,1.0,1,1
bellagiospizza.com,1.0,3,3
kennethcole.com,1.0,4,4
e.l.f,1.0,1,1
americasbestvalueinn.com,1.0,2,2
webstoresupply.com,1.0,1,1
umdstores.com,1.0,1,1
richardsandsouthern.com,1.0,1,1
personallaserhairremoval.org,1.0,1,1
knowyoursource.com,1.0,1,1
docialynn.com,1.0,1,1
nctotalmerchant.com,1.0,1,1
fairplaygames.com,1.0,1,1
1800baskets.com?utm_source=ask&utm_medium=cpc&utm_campaign=ask%2Bdeals%2Baff,1.0,1,1
mcworld.com,1.0,3,3
motherlove.com,1.0,1,1
mojocondom.com,1.0,1,1
ollyshoes.com,0.3333333333333333,1,3
elance.com,1.0,2,2
korbie.com,1.0,1,1
supplementcentral.com,1.0,2,2
sirata.com,1.0,1,1
tickets.wet-electric.com,1.0,4,4
ediblearrangements.com,1.0,48,48
beautyticket.com,1.0,1,1
bridalpromsave.com,1.0,2,2
levitaonline.com,1.0,1,1
valvoline.com?utm_source=rss&utm_medium=merchant,1.0,1,1
adobe.com,0.8571428571428571,12,14
tacobell.com?utm_source=rss&utm_medium=merchant,1.0,1,1
ammo.net,1.0,2,2
canadapharmacy.com,0.3333333333333333,2,6
govolo.es,1.0,1,1
alamo.com,0.9166666666666666,22,24
centuryphoto.com,1.0,2,2
paulaschoice.com,1.0,5,5
dealsdango.com,1.0,1,1
thefirmhnlhawaii.tumblr.com,1.0,3,3
stepsto.com,1.0,1,1
baliorphan.com,1.0,1,1
bk.com,1.0,18,18
powerbalance.net,1.0,3,3
macrobaby.com,1.0,1,1
nutnbutcheese.com,1.0,1,1
cmdstore.com,1.0,1,1
iflorist.co.uk,1.0,2,2
zfurniture.com,1.0,2,2
champssports.com,0.8823529411764706,15,17
babyviva.com,0.5,2,4
heavenlykonnections.com,1.0,1,1
erogenos.com,1.0,1,1
graphics.tutpub.com.ph,1.0,1,1
bugaboo.com,1.0,1,1
g-fitness.com,1.0,1,1
frontgate.com?fb_xd_fragment,1.0,1,1
carnegiehall.org,1.0,2,2
thruxtonracing.co.uk,1.0,1,1
arkclothing.com,1.0,2,2
lagarconne.com?utm_source=rss&utm_medium=merchant,1.0,1,1
danscomp.com,0.9607843137254902,49,51
siliconebody.com,1.0,1,1
shop.trendmicro.com?utm_source=rss&utm_medium=merchant,1.0,1,1
seomoz.org?utm_source=rss&utm_medium=merchant,1.0,1,1
infectiousthreads.com,1.0,2,2
akirachicago.com,1.0,1,1
musicspacekids.com,1.0,1,1
westin.com?utm_source=rss&utm_medium=tag,1.0,1,1
envelopes.com,1.0,1,1
cabinetgiant.com?utm_source=rss&utm_medium=merchant,1.0,1,1
valueappeal.com,1.0,2,2
bloomex.ca?utm_source=ask&utm_medium=cpc&utm_campaign=ask%2Bdeals%2Bnaff,1.0,1,1
developer.www.pintwire.co.in,1.0,1,1
kitchenspro.com,1.0,1,1
gelaskins.com,1.0,2,2
realactionpaintball.com,1.0,2,2
nickisdiapers.com?utm_source=rss&utm_medium=merchant,1.0,1,1
email-frederickpctech.com,1.0,1,1
davidsbridal.com,0.21739130434782608,10,46
myhabit.com,0.75,6,8
pcworld.com,1.0,1,1
hmv.co.jp,1.0,2,2
live-inspired.com,1.0,1,1
popcornopolis.com?utm_source=rss&utm_medium=tag,1.0,1,1
petmedstore.com,1.0,4,4
interweavestore.com?utm_source=email&utm_medium=alert,1.0,1,1
wow7gold.com,1.0,1,1
karenskitsch.com,1.0,1,1
bvd-cedi.de,1.0,1,1
ittibitti.com.au,1.0,1,1
wonderwatersolutions.com,1.0,1,1
quizzle.com,1.0,1,1
uniformadvantage.com,1.0,21,21
gourmetgiftbaskets.com,1.0,1,1
brownsshoes.com,1.0,1,1
champsports.com,1.0,1,1
sahalie.com,1.0,2,2
scholarshippoints.com?utm_source=newsletter&utm_medium=2009_03_01,1.0,1,1
lovebookonline.com,1.0,1,1
jukeboxprint.com,1.0,1,1
gotanime.com,1.0,1,1
annetaylor.com,1.0,1,1
splashsupercenter.com,1.0,1,1
projectfork.net,1.0,1,1
ringsidecollectibles.com,1.0,4,4
www.angelfoodministries.com,1.0,1,1
nytimes.com?utm_source=rss&utm_medium=merchant,1.0,1,1
fmyi.com,1.0,1,1
everydayeating.com,1.0,4,4
pcmacsa.com,1.0,1,1
venezialines.it,1.0,1,1
bamper-ford.avtosklad.net.au,1.0,1,1
mcsports.com,1.0,2,2
bkcrowncard.com,1.0,1,1
hyenacart.com,1.0,1,1
zippocasemuseum.com?utm_source=rss&utm_medium=merchant,1.0,1,1
gemdust.com,1.0,1,1
baymontinns.com,1.0,3,3
avistarparking.com?utm_source=rss&utm_medium=merchant,1.0,1,1
academon.com,0.0,0,2
findlegalforms.com,1.0,1,1
vandykes.com,1.0,1,1
nordicpure.com,1.0,1,1
simplypostcards.net,1.0,1,1
happytiffin.com,1.0,1,1
ignmax.com?utm_source=rss&utm_medium=tag,1.0,1,1
costumexpress.com,1.0,1,1
huntoffice.ie,1.0,1,1
creationsbyrichie.com,1.0,1,1
airsoftextreme.com?utm_source=rss&utm_medium=merchant,1.0,1,1
nerds.co.uk,1.0,1,1
learningexpress.com?pagewanted=all,1.0,1,1
beauty11th.com,0.0,0,2
myfirstmascot.com,1.0,1,1
andersoncovers.com,1.0,1,1
muckbootsoutlet.com,1.0,3,3
revolutiontea.com,1.0,1,1
gorjana.com,1.0,1,1
runningwarehouse.com,1.0,32,32
tickets.seattleartmuseum.org,1.0,1,1
krystal.com,1.0,2,2
appliancesonline.com.au,1.0,1,1
brandonsingles.com,1.0,1,1
yourautotrimm.com,1.0,1,1
spaweek.com,1.0,1,1
dearbornclassics.com,1.0,1,1
guppieboutique.com,1.0,1,1
kgbdeals.com,1.0,1,1
blankdogtag.com,0.3333333333333333,1,3
xtremecollection.net,1.0,1,1
magsalmostfree.com,1.0,1,1
asiafinebooks.com,1.0,1,1
linkrain.com,1.0,1,1
glowing.yourpassionconsultant.com,1.0,1,1
fileserve.com,1.0,1,1
decorinnovation.com,1.0,1,1
sneakerhead.com,1.0,3,3
cymaxstores.com,1.0,1,1
drbyrne.com,1.0,1,1
chanellospizza.com?utm_source=rss&utm_medium=merchant,1.0,1,1
stratospherehotel.com?utm_source=rss&utm_medium=merchant,1.0,1,1
shop.timberland.com?utm_source=extension&utm_medium=firefox,1.0,1,1
myshio.com,1.0,1,1
keewah.us,1.0,2,2
atomicmall.com,1.0,3,3
bluefishtv.com,1.0,1,1
sprint.com,0.4,12,30
interstateplumbing1.googlepages.com,1.0,1,1
greenvalleyranchresort.com,1.0,2,2
4chan.org,1.0,1,1
quotelady.com,1.0,1,1
bigdipperwaxworks.com,1.0,3,3
radtech.com?utm_source=rss&utm_medium=tag,1.0,1,1
jbbrownandcompany.com,1.0,1,1
victorychurchproducts.com,1.0,2,2
bellissimofavors.com,1.0,1,1
bronxzoo.com,1.0,1,1
gooddens.com,1.0,1,1
baliexist.com,0.0,0,2
allivet.com,1.0,2,2
tesco.com,1.0,1,1
jcp.comcatalog,1.0,1,1
twopeasinabucket.com,1.0,1,1
gpvsystems.com,1.0,1,1
calumet.com?utm_source=rss&utm_medium=tag,1.0,1,1
fashionplaytes.com,1.0,1,1
natioal.com,1.0,1,1
kitchencollections.com?utm_source=rss&utm_medium=tag,1.0,1,1
biscoff.com,1.0,2,2
cwdkids.com,1.0,7,7
keysbymail.com,1.0,1,1
yanashiki.com,1.0,1,1
uverse.att.com,1.0,6,6
deals4now.com,1.0,1,1
virginmega.com,1.0,3,3
morehome.com,1.0,1,1
machinerunner.com,1.0,2,2
inlovewithfashion.com,1.0,1,1
ezvapes.com,1.0,1,1
shoesforcrews.com,1.0,3,3
theairfilterstore.com,1.0,1,1
homevillage.us,1.0,1,1
to-goware.com,1.0,1,1
jcw.webepc.com,1.0,1,1
pinpointpublicworks.com,1.0,1,1
goodwoodsbritishmarket.com,1.0,1,1
poolfloatsmart.com,1.0,2,2
alwaysauthentic.com,1.0,1,1
marilynskeepsakes.com,1.0,2,2
theomegaorder.com,1.0,2,2
intuitmarket.com,1.0,1,1
goodycandles.com,1.0,1,1
cyberphoto.se,1.0,1,1
probusnyc.com,1.0,2,2
laemmle.com,1.0,1,1
serendipitycollections.com,1.0,2,2
kitchenu.com,1.0,3,3
perfline.com,1.0,2,2
gobostoncard.com?utm_source=rss&utm_medium=tag,1.0,1,1
youbars.com?utm_source=rss&utm_medium=tag,1.0,1,1
